rhs/lhs,void,ubyte,byte,char,ushort,short,uint,int,wchar,ulong,long,float,double,bool,struct,union,enum,typedef,const,array,ptr,function ptr,aggregate init
void,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ubyte,NULL,ubyte,short,NULL,ushort,short,uint,int,NULL,ulong,long,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
byte,NULL,short,byte,NULL,int,short,long,int,NULL,NULL,long,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
char,NULL,NULL,NULL,char,NULL,NULL,NULL,NULL,wchar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
ushort,NULL,ushort,int,NULL,ushort,int,uint,int,NULL,ulong,long,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
short,NULL,short,short,NULL,int,short,long,int,NULL,NULL,long,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
uint,NULL,uint,long,NULL,uint,long,uint,long,NULL,ulong,long,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
int,NULL,int,int,NULL,long,int,long,int,NULL,NULL,long,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
wchar,NULL,NULL,NULL,wchar,NULL,NULL,NULL,NULL,wchar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
ulong,NULL,ulong,NULL,NULL,ulong,NULL,ulong,NULL,NULL,ulong,NULL,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
long,NULL,long,long,NULL,long,long,long,long,NULL,NULL,long,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
float,NULL,float,float,NULL,float,float,float,float,NULL,float,float,float,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
double,NULL,double,double,NULL,double,double,double,double,NULL,double,double,double,double,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
bool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bool,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
struct,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,same struct or NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
union,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,same union or NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
enum,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,same enum or NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
typedef,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,same typedef or NULL,const `merge of internal types`,NULL,NULL,NULL,NULL
const,NULL,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`,const `merge of internal types`
array,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,same array or NULL,NULL,NULL,NULL
ptr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,"if typeEqual, or `internal type` const * if only different by constness",NULL,NULL
function ptr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,if typeEqual,NULL
aggregate init,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,const `merge of internal types`,NULL,NULL,NULL,if typeEqual
